#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
49.0,Aug 157:00 PM,Gastonia,Lexington,5-0,"Wells, N","Ferrer, B",final|,46,49,0.0,0.0
49.0,Aug 226:37 PM,Long Island,Hagerstown,14-7,"Case, B","Weisenburger, J",final|,50,48,0.636,0.0
49.0,Aug 196:39 PM,Gastonia,S Maryland,8-4,"Blanton, B","Scrubb, A",final|,47,49,0.0,
49.0,Aug 226:34 PM,Lexington,High Point,4-5,"Klobosits, G","Armstrong, J",final|,51,49,0.0,1.0
50.0,Aug 206:37 PM,Gastonia,S Maryland,7-8,"Vazquez, R","Horvath, N",final|,48,50,0.0,
50.0,Aug  96:34 PM,Lexington,York,9-3,"Ferrer, B","Palm, T",final|,52,49,0.0,0.364
50.0,Aug 166:35 PM,Hagerstown,Long Island,3-6,"Melville, T","Weisenburger, J",final|,50,50,0.0,0.636
50.0,Aug 236:03 PM,Long Island,Hagerstown,10-3,"Griffin, D","Martinez, Q",final|,51,49,0.636,0.0
50.0,Aug 236:37 PM,Lexington,High Point,8-7,"Eastman, C","Blair, D",final|,53,50,0.0,1.0
50.0,Aug 1312:07 PM,High Point,Charleston,6-7,"Reyes, S","Rouse, S",final|,50,50,1.0,0.0
50.0,Aug  97:01 PM,Charleston,Gastonia,1-4,"Wells, N","Demurias, E",final|,45,50,0.0,0.0
50.0,Aug 206:49 PM,Long Island,Lancaster,6-7,"Skirrow, N","Dipoto, J",final|,52,49,0.636,0.0
50.0,Aug 167:05 PM,Gastonia,Lexington,5-12,"Eastman, C","Newsome, L",final|,49,50,0.0,0.0
50.0,Aug 213:59 PM,Charleston,Staten Island,1-3,"Scott, W","Hill, J",final|,46,50,0.0,0.0
51.0,Aug 216:47 PM,Long Island,Lancaster,10-5,"Nelson, B","Sullivan, B",final|,53,50,0.636,0.0
51.0,Aug 216:39 PM,Gastonia,S Maryland,2-3,"Briceño, E","Blanton, B",final|,50,51,0.0,
51.0,Aug 244:05 PM,Lexington,High Point,11-2,"Edwards, C","Del Bonta-Smith, F",final|,54,51,0.0,1.0
51.0,Aug 242:01 PM,Long Island,Hagerstown,7-2,"Case, B","Minaya, J",final|,54,50,0.636,0.0
51.0,Aug 216:31 PM,Charleston,Staten Island,2-0,"Demurias, E","Peralta, O",final|,47,51,0.0,0.0
51.0,Aug 104:00 PM,Charleston,Gastonia,6-7,"Thompson, C","Lusk, L",final|,48,51,0.0,0.0
51.0,Aug 101:04 PM,Lexington,York,6-7,"Cellucci, B","Haab, J",final|,55,50,0.0,0.364
51.0,Aug 175:13 PM,Hagerstown,Long Island,4-10,"Clenney, N","Simone, A",final|,51,51,0.0,0.636
51.0,Aug 172:03 PM,Gastonia,Lexington,10-5,"Warren, A","Edwards, C",final|,51,51,0.0,0.0
51.0,Aug 146:40 PM,High Point,Charleston,5-4,"Scolaro, J","Hill, J",final|,51,51,1.0,0.0
52.0,Aug 266:34 PM,York,Long Island,3-5,"Reed, M","Burnette, J",final|,49,52,0.364,0.636
52.0,Aug 266:35 PM,Charleston,High Point,10-5,"Diaz, A","Scolaro, J",final|,49,52,0.0,1.0
52.0,Aug 266:38 PM,Staten Island,S Maryland,4-5,"McCabe, B","Snead, K",final|,52,52,0.0,
52.0,Aug 266:48 PM,Gastonia,Lexington,8-9,"Loper, J","Grey, C",final|,52,52,0.0,0.0
52.0,Aug 156:40 PM,High Point,Charleston,5-7,"Demurias, E","Wereski, B",final|,52,52,1.0,0.0
52.0,Aug 296:46 PM,Staten Island,Lancaster,8-9,"Bremer, N","Mack, A",final|,53,51,0.0,0.0
52.0,Aug 227:01 PM,Lancaster,Gastonia,7-4,"White, B","Stem, C",final|,50,52,0.0,0.0
52.0,Aug 196:36 PM,Hagerstown,York,6-16,"Vallimont, C","Minaya, J",final|,52,51,0.0,0.364
52.0,Aug 266:32 PM,Lancaster,Hagerstown,5-1,"Skirrow, N","Henriquez, J",final|,51,51,0.0,0.0
52.0,Aug 227:04 PM,S Maryland,Staten Island,6-10,"Hernandez, L","Ross, D",final|,50,52,,0.0
53.0,Aug 276:31 PM,Lancaster,Hagerstown,0-2,"Imhoff, A","McAvene, M",final|,52,52,0.0,0.0
53.0,Aug 276:34 PM,York,Long Island,5-2,"Miranda, K","Melville, T",final|,50,53,0.364,0.636
53.0,Aug 276:36 PM,Staten Island,S Maryland,0-3,"Thompson, C","Scott, W",final|,54,53,0.0,
53.0,Aug 276:49 PM,Gastonia,Lexington,11-5,"Hartman, M","Wicklander, P",final|,53,53,0.0,0.0
53.0,Aug 276:37 PM,Charleston,High Point,0-5,"Wereski, B","Hill, J",final|,50,53,0.0,1.0
53.0,Aug 237:02 PM,Lancaster,Gastonia,2-9,"Newsome, L","Bremer, N",final|,53,53,0.0,0.0
53.0,Aug 236:50 PM,S Maryland,Staten Island,12-4,"Chatham, C","Mack, A",final|,51,53,,0.0
53.0,Aug 306:47 PM,Staten Island,Lancaster,4-15,"Swarmer, M","Kaminsky, R",final|,55,52,0.0,0.0
53.0,Aug 166:39 PM,High Point,Charleston,7-9,"de Avila, L","Rouse, S",final|,53,53,1.0,0.0
53.0,Aug 206:34 PM,Hagerstown,York,4-3,"Reyes, C","Robinson, C",final|,53,52,0.0,0.364
54.0,Aug 286:36 PM,Lancaster,Hagerstown,8-2,"Green, M","Weisenburger, J",final|,54,53,0.0,0.0
54.0,Aug 286:49 PM,Gastonia,Lexington,10-5,"Wells, N","Laio, N",final|,54,54,0.0,0.0
54.0,Aug 312:05 PM,Staten Island,Lancaster,1-5,"Skirrow, N","Roe, N",final|,56,53,0.0,0.0
54.0,Aug 286:40 PM,Charleston,High Point,8-5,"Reyes, S","Barker, A",final|,51,54,0.0,1.0
54.0,Aug 286:35 PM,York,Long Island,4-8,"Jacobson, T","Firoved, E",final|,51,54,0.364,0.636
54.0,Aug 216:34 PM,Hagerstown,York,8-11,"Mollerus, J","Simone, A",final|,54,53,0.0,0.364
54.0,Aug 173:09 PM,High Point,Charleston,10-6,"Uelmen, E","Diaz, A",final|,54,54,1.0,0.0
54.0,Aug 244:02 PM,Lancaster,Gastonia,8-5,"Engler, S","Benoit, D",final|,55,54,0.0,0.0
54.0,Aug 241:33 PM,S Maryland,Staten Island,12-8,"Thurman, A","Kaminsky, R",final|,52,54,,0.0
54.0,Aug 286:34 PM,Staten Island,S Maryland,10-5,"McKenna, B","Miller, J",final|,57,54,0.0,
55.0,Sep  36:32 PM,Hagerstown,Staten Island,3-12,"Scott, W","Imhoff, A",final|,55,55,0.0,0.0
55.0,Aug 295:04 PM,Lexington,S Maryland,1-2,"Briceño, E","Haab, J",final|,56,55,0.0,
55.0,Aug 296:32 PM,High Point,Hagerstown,1-3,"Simone, A","Uelmen, E",final|,55,54,1.0,0.0
55.0,Aug 296:35 PM,York,Long Island,4-2,"Kickham, M","Griffin, D",final|,52,55,0.364,0.636
55.0,Aug 296:39 PM,Gastonia,Charleston,4-1,"King, T","de Avila, L",final|,55,55,0.0,0.0
55.0,Sep  26:32 PM,Long Island,Gastonia,2-5,"Hartman, M","Melville, T",final|,55,55,0.636,0.0
55.0,Aug 226:36 PM,Charleston,York,6-5,"Corona, R","Robinson, C",final|,52,54,0.0,0.364
55.0,Sep  26:49 PM,Charleston,Lexington,11-10,"Corona, R","Haab, J",final|,53,55,0.0,0.0
55.0,Sep  26:46 PM,York,Lancaster,9-2,"Burnette, J","McCollough, L",final|,53,54,0.364,0.0
55.0,Sep  26:38 PM,S Maryland,High Point,4-3,"Virbitsky, K","Wereski, B",final|,53,55,,1.0
56.0,Sep  36:47 PM,York,Lancaster,9-6,"Bennett, N","Green, M",final|,54,55,0.364,0.0
56.0,Sep  36:37 PM,S Maryland,High Point,5-4,"Thompson, C","Cotter, C",final|,54,56,,1.0
56.0,Sep  312:31 PM,Long Island,Gastonia,12-8,"Jacobson, T","Wells, N",final|,56,56,0.636,0.0
56.0,Sep  44:01 PM,Hagerstown,Staten Island,0-2,"Kehoe, R","Weisenburger, J",final|,56,56,0.0,0.0
56.0,Aug 236:36 PM,Charleston,York,3-12,"Kickham, M","Davis, M",final|,54,55,0.0,0.364
