season,season_id,division,team,team_id,team_url
Playoffs 2016,30675,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=30675
Playoffs 2016,30675,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=30675
Playoffs 2016,30675,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=30675
Playoffs 2016,30675,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=30675
All Star Game 2016,30475,ASG 2016,Freedom Division,97961,https://baseball.pointstreak.com/team_home.html?teamid=97961&seasonid=30475
All Star Game 2016,30475,ASG 2016,Liberty Division,97960,https://baseball.pointstreak.com/team_home.html?teamid=97960&seasonid=30475
Pre-Season 2016,30281,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=30281
Pre-Season 2016,30281,Freedom,San Jacinto College,110993,https://baseball.pointstreak.com/team_home.html?teamid=110993&seasonid=30281
Pre-Season 2016,30281,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=30281
Pre-Season 2016,30281,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=30281
Pre-Season 2016,30281,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=30281
Pre-Season 2016,30281,Liberty,Bridgeport Bluefish,3611,https://baseball.pointstreak.com/team_home.html?teamid=3611&seasonid=30281
Pre-Season 2016,30281,Liberty,Long Island Black Sox,110901,https://baseball.pointstreak.com/team_home.html?teamid=110901&seasonid=30281
Pre-Season 2016,30281,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=30281
Pre-Season 2016,30281,Liberty,New Britain Bees,107693,https://baseball.pointstreak.com/team_home.html?teamid=107693&seasonid=30281
Pre-Season 2016,30281,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=30281
ALPB- 2016,30100,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=30100
ALPB- 2016,30100,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=30100
ALPB- 2016,30100,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=30100
ALPB- 2016,30100,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=30100
ALPB- 2016,30100,Liberty,Bridgeport Bluefish,3611,https://baseball.pointstreak.com/team_home.html?teamid=3611&seasonid=30100
ALPB- 2016,30100,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=30100
ALPB- 2016,30100,Liberty,New Britain Bees,107693,https://baseball.pointstreak.com/team_home.html?teamid=107693&seasonid=30100
ALPB- 2016,30100,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=30100
Playoffs 2015,29833,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=29833
Playoffs 2015,29833,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=29833
Playoffs 2015,29833,Freedom,TBD,102836,https://baseball.pointstreak.com/team_home.html?teamid=102836&seasonid=29833
Playoffs 2015,29833,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=29833
Playoffs 2015,29833,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=29833
Playoffs 2015,29833,Liberty,TBD,102835,https://baseball.pointstreak.com/team_home.html?teamid=102835&seasonid=29833
All Star Game 2015,29647,ASG 2015,Freedom Division,97961,https://baseball.pointstreak.com/team_home.html?teamid=97961&seasonid=29647
All Star Game 2015,29647,ASG 2015,Liberty Division,97960,https://baseball.pointstreak.com/team_home.html?teamid=97960&seasonid=29647
Pre-Season 2015,29415,Freedom,Alvin Community College,93383,https://baseball.pointstreak.com/team_home.html?teamid=93383&seasonid=29415
Pre-Season 2015,29415,Freedom,College of Southern Maryland,93385,https://baseball.pointstreak.com/team_home.html?teamid=93385&seasonid=29415
Pre-Season 2015,29415,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=29415
Pre-Season 2015,29415,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=29415
Pre-Season 2015,29415,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=29415
Pre-Season 2015,29415,Freedom,Wharton County Jr. College,93384,https://baseball.pointstreak.com/team_home.html?teamid=93384&seasonid=29415
Pre-Season 2015,29415,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=29415
Pre-Season 2015,29415,Liberty,Bridgeport Bluefish,3611,https://baseball.pointstreak.com/team_home.html?teamid=3611&seasonid=29415
Pre-Season 2015,29415,Liberty,Camden Riversharks,3610,https://baseball.pointstreak.com/team_home.html?teamid=3610&seasonid=29415
Pre-Season 2015,29415,Liberty,Long Island Black Sox,93382,https://baseball.pointstreak.com/team_home.html?teamid=93382&seasonid=29415
Pre-Season 2015,29415,Liberty,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=29415
Pre-Season 2015,29415,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=29415
ALPB- 2015,29210,Freedom,Lancaster Barnstormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=29210
ALPB- 2015,29210,Freedom,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=29210
ALPB- 2015,29210,Freedom,Sugar Land Skeeters,34136,https://baseball.pointstreak.com/team_home.html?teamid=34136&seasonid=29210
ALPB- 2015,29210,Freedom,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=29210
